Timestamp,What is your primary reason(s) for using AI?,On average how many minutes per day do you spend chatting with an AI? ,I feel like the AI I interact with has a distinct personality.,The AI adapts its tone and language to match my specific communication style.,I feel a moral obligation be polite or kind when messaging the AI.,"When the AI claims to understand my feelings, I perceive that sentiment as sincere.",I find the AI's responses to be more supportive than those of some people I know in real life.,I find it easier to express myself to an AI than in some face-to-face conversations.,I frequently lose track of time while engaged in a conversation with the AI.,I can rely on the AI as a safe space to discuss my personal problems.,I would feel a significant sense of loss if I could no longer access my preferred AI.,I view my ongoing interactions with the AI as a form of companionship.,What age range do you fall in?,Gender identity,Current Status,How would describe your usage of technology.,Which of the following platforms do you use,Which of these platforms do you use,Do you currently use any form of AI?,Usage Category,Archetypes ,,,,,,
5/8/2026 17:30:47,"Homework, Study Help",30,2,4,4,2,4,3,1,4,4,2,25-34,Female,Student (Graduate/Post-grad),4,"ChatGPT, Claude, Copilot","Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Skeptic,,,,,,
5/8/2026 18:14:59,,,,,,,,,,,,,18-24,Female,Student (Graduate/Post-grad),5,,,No,Non-AI User,Non-AI user,,,Usage Category,Mean Anticipated Loss,Count,
5/8/2026 19:41:46,Study Help,5,3,4,3,1,1,1,1,1,2,1,18-24,Male,Student (Graduate/Post-grad),4,ChatGPT,I do not use this form of AI,Yes,Work,Skeptic,,,Hybrid (n=18) + Life (relational) (n=2),3.5,20,
5/8/2026 21:03:22,"Homework, Study Help, Emotional Support",10,2,3,4,4,4,4,3,4,3,2,18-24,Female,Student (Graduate/Post-grad),4,ChatGPT,I do not use this form of AI,Yes,Hybrid,Empath,,,Work (Functional) (n=36),2.722222222,36,
5/8/2026 22:35:57,,,,,,,,,,,,,18-24,Female,Employed (Full-time),5,,,No,Non-AI User,Non-AI user,,,Life (Relational) (n=2),2.5,2,
5/9/2026 13:36:59,"Homework, Study Help",30,2,5,4,1,3,2,2,1,1,1,18-24,Female,Student (Undergraduate),5,"ChatGPT, Gemini, Notebook","Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Skeptic,,,,,,
5/9/2026 14:30:20,,,,,,,,,,,,,18-24,Female,Student (Undergraduate),4,,,No,Non-AI User,Non-AI user,,,,,,
5/9/2026 14:46:47,Coding,400,3,4,1,1,2,4,5,2,4,1,25-34,Male,Employed (Full-time),5,"ChatGPT, Gemini, Claude",I do not use this form of AI,Yes,Work,Sole-Tool,,,,,,
5/9/2026 16:32:22,"Homework, Study Help",20,3,4,3,3,3,2,2,2,3,1,18-24,Female,Student (Undergraduate),3,ChatGPT,I do not use this form of AI,Yes,Work,Empath,,,,,,
5/10/2026 11:48:12,Work,20,2,3,2,3,4,3,4,3,4,4,25-34,Male,"Student (Graduate/Post-grad), Employed (Part-time), Employed (Full-time)",4,"ChatGPT, Gemini",I do not use this form of AI,Yes,Work,Intuitive,,,,,,
5/11/2026 17:33:43,"Homework, Emotional Support, Roleplay/Boredom",400,3,4,4,1,4,4,4,4,5,4,18-24,Female,Student (Undergraduate),2,"ChatGPT, Gemini",Chai,Yes,Hybrid,Skeptic,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Category,Count,,,,,,,,,,,
,,,,,,,,,,,,Category,Count,,Female AI Users,37,,,,,,,,,,,
,,,,,,,,,,,,18-24 (AI-User),39,,Female Non-Users,7,,,,,,,,,,,
Archetype,Distinct Personality,Tone Adaptation,Support vs. People,Safe Space,Sense of Loss,,,,,,,18-24 (Non AI-User),11,,Male AI Users,19,,,,,,,,,,,
Empath,3,3.83,3.83,3.28,2.94,,,,,,,25-34 (AI-User),12,,Male Non-Users,5,,,,,,,,,,,
"""Karen""",2.25,4,3,2.75,3.25,,,,,,,"25-34 (Non AI-User)",4,,Non-binary Non-Users,4,,,,,,,,,,,
Skeptic,2.36,3.77,2.59,1.86,2.91,,,,,,,35-44 (AI-User),4,,,,,,,,,,,,,,
Sole-Tool,1.77,2.62,1.31,1.54,2.23,,,,,,,35-44 (Non AI-User),0,,,,,,,,,,,,,,
,,,,,,,,,,,,45-54 (AI-User),1,,,,,,,,,,,,,,
,,,,,,,,,,,,45-54 (Non AI-User),0,,,,,,,,,,,,,,
